location,Basel
lat,47.54694
lon,7.56892
asl,283.697
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
20210614T2100,25.56053
20210614T2200,23.760529
20210614T2300,21.95053
20210615T0000,20.690529
20210615T0100,19.610529
20210615T0200,18.490528
20210615T0300,17.62053
20210615T0400,17.39053
20210615T0500,17.110529
20210615T0600,16.660528
20210615T0700,17.05053
20210615T0800,18.98053
20210615T0900,21.45053
20210615T1000,23.82053
20210615T1100,25.47053
20210615T1200,26.47053
20210615T1300,27.37053
20210615T1400,28.680529
20210615T1500,29.39053
20210615T1600,29.680529
20210615T1700,29.660528
20210615T1800,29.45053
20210615T1900,28.97053
20210615T2000,28.260529
20210615T2100,27.06053
20210615T2200,25.770529
20210615T2300,24.240528
20210616T0000,22.990528
20210616T0100,22.010529
20210616T0200,21.20053
20210616T0300,20.490528
20210616T0400,19.940529
20210616T0500,19.54053
20210616T0600,19.100529
20210616T0700,19.340528
20210616T0800,20.770529
20210616T0900,23.13053
20210616T1000,25.81053
20210616T1100,27.62053
20210616T1200,28.760529
20210616T1300,29.56053
20210616T1400,30.97053
20210616T1500,31.39053
20210616T1600,31.590528
20210616T1700,31.500528
20210616T1800,31.31053
20210616T1900,30.90053
20210616T2000,30.29053
20210616T2100,29.240528
20210616T2200,27.180529
20210616T2300,24.39053
20210617T0000,22.39053
20210617T0100,21.250528
20210617T0200,21.71053
20210617T0300,21.96053
20210617T0400,21.63053
20210617T0500,20.62053
20210617T0600,20.71053
20210617T0700,21.430529
20210617T0800,22.940529
20210617T0900,25.29053
20210617T1000,27.270529
20210617T1100,29.090528
20210617T1200,30.600529
20210617T1300,31.660528
20210617T1400,31.32053
20210617T1500,31.670528
20210617T1600,31.95053
20210617T1700,32.27053
20210617T1800,32.19053
20210617T1900,31.830528
20210617T2000,31.14053
20210617T2100,29.850529
20210617T2200,28.04053
20210617T2300,26.12053
20210618T0000,25.21053
20210618T0100,23.32053
20210618T0200,23.39053
20210618T0300,22.70053
20210618T0400,22.71053
20210618T0500,21.490528
20210618T0600,20.670528
20210618T0700,21.920528
20210618T0800,23.56053
20210618T0900,25.590528
20210618T1000,27.750528
20210618T1100,29.70053
20210618T1200,30.930529
20210618T1300,31.940529
20210618T1400,31.690529
20210618T1500,32.32053
20210618T1600,32.62053
20210618T1700,31.360529
20210618T1800,29.740528
20210618T1900,29.270529
20210618T2000,28.110529
20210618T2100,27.12053
20210618T2200,25.90053
20210618T2300,24.910528
20210619T0000,24.010529
20210619T0100,23.110529
20210619T0200,22.56053
20210619T0300,21.90053
20210619T0400,21.14053
20210619T0500,20.46053
20210619T0600,20.15053
20210619T0700,20.600529
20210619T0800,22.73053
20210619T0900,25.190529
20210619T1000,27.360529
20210619T1100,28.70053
20210619T1200,29.63053
20210619T1300,30.39053
20210619T1400,31.410528
20210619T1500,32.130527
20210619T1600,32.450527
20210619T1700,32.470528
20210619T1800,32.26053
20210619T1900,31.98053
20210619T2000,31.360529
20210619T2100,30.250528
20210619T2200,28.420528
20210619T2300,25.910528
20210620T0000,24.280529
20210620T0100,23.81053
20210620T0200,23.280529
20210620T0300,23.580528
20210620T0400,21.48053
20210620T0500,21.07053
20210620T0600,20.20053
20210620T0700,20.73053
20210620T0800,22.510529
20210620T0900,24.090528
20210620T1000,24.910528
20210620T1100,24.930529
20210620T1200,23.600529
20210620T1300,27.15053
20210620T1400,29.80053
20210620T1500,30.57053
20210620T1600,29.490528
20210620T1700,25.98053
20210620T1800,19.750528
20210620T1900,20.360529
20210620T2000,20.670528
20210620T2100,20.31053
20210620T2200,19.98053
20210620T2300,19.850529
20210621T0000,19.71053
20210621T0100,19.590528
20210621T0200,19.080528
20210621T0300,18.96053
20210621T0400,16.670528
20210621T0500,16.40053
20210621T0600,16.740528
20210621T0700,17.530529
20210621T0800,18.87053
20210621T0900,20.40053
20210621T1000,21.72053
20210621T1100,22.850529
20210621T1200,24.04053
20210621T1300,25.170528
20210621T1400,27.190529
20210621T1500,27.770529
20210621T1600,27.98053
20210621T1700,26.88053
20210621T1800,26.660528
20210621T1900,25.81053
20210621T2000,25.47053
20210621T2100,24.79053
20210621T2200,24.490528
20210621T2300,23.100529
20210622T0000,20.170528
20210622T0100,19.20053
20210622T0200,18.07053
20210622T0300,17.490528
20210622T0400,17.46053
20210622T0500,17.160528
20210622T0600,16.71053
20210622T0700,17.080528
20210622T0800,18.64053
20210622T0900,20.71053
20210622T1000,20.81053
20210622T1100,20.740528
20210622T1200,21.54053
20210622T1300,22.610529
20210622T1400,21.000528
20210622T1500,20.830528
20210622T1600,21.07053
20210622T1700,21.46053
20210622T1800,21.90053
20210622T1900,21.920528
20210622T2000,21.680529
20210622T2100,21.100529
20210622T2200,20.05053
20210622T2300,18.940529
20210623T0000,18.030529
20210623T0100,17.330528
20210623T0200,16.930529
20210623T0300,16.580528
20210623T0400,16.180529
20210623T0500,15.680529
20210623T0600,15.5505295
20210623T0700,15.790529
20210623T0800,16.95053
20210623T0900,17.610529
20210623T1000,18.180529
20210623T1100,18.510529
20210623T1200,19.88053
20210623T1300,20.240528
20210623T1400,24.45053
20210623T1500,23.690529
20210623T1600,23.40053
20210623T1700,22.87053
20210623T1800,22.010529
20210623T1900,20.850529
20210623T2000,18.860529
20210623T2100,17.82053
20210623T2200,17.190529
20210623T2300,16.56053
